t,x,y,couleur
0,5,5,bleu
0,5,6.12246,bleu
0,5,7.24492,bleu
0,5,8.36739,bleu
0,5,9.48985,bleu
0,5,10.6123,bleu
0,5,11.7348,bleu
0,5,12.8572,bleu
0,5,13.9797,bleu
0,5,15.1022,bleu
0,5,16.2246,bleu
0,5,17.3471,bleu
0,5,18.4695,bleu
0,5,19.592,bleu
0,5,20.7145,bleu
0,5,21.8369,bleu
0,5,22.9594,bleu
0,5,24.0819,bleu
0,5,25.2043,bleu
0,5,26.3268,bleu
0,5,27.4492,bleu
0,5,28.5717,bleu
0,5,29.6942,bleu
0,5,30.8166,bleu
0,5,31.9391,bleu
0,5,33.0616,bleu
0,5,34.184,bleu
0,5,35.3065,bleu
0,5,36.4289,bleu
0,5,37.5514,bleu
0,5,38.6739,bleu
0,5,39.7963,bleu
0,5,40.9188,bleu
0,5,42.0412,bleu
0,5,43.1637,bleu
0,5,44.2862,bleu
0,5,45.4086,bleu
0,5,46.5311,bleu
0,5,47.6536,bleu
0,5,48.776,bleu
0,6.12246,5,bleu
0,6.12246,6.12246,bleu
0,6.12246,7.24492,bleu
0,6.12246,8.36739,bleu
0,6.12246,9.48985,bleu
0,6.12246,10.6123,bleu
0,6.12246,11.7348,bleu
0,6.12246,12.8572,bleu
0,6.12246,13.9797,bleu
0,6.12246,15.1022,bleu
0,6.12246,16.2246,bleu
0,6.12246,17.3471,bleu
0,6.12246,18.4695,bleu
0,6.12246,19.592,bleu
0,6.12246,20.7145,bleu
0,6.12246,21.8369,bleu
0,6.12246,22.9594,bleu
0,6.12246,24.0819,bleu
0,6.12246,25.2043,bleu
0,6.12246,26.3268,bleu
0,6.12246,27.4492,bleu
0,6.12246,28.5717,bleu
0,6.12246,29.6942,bleu
0,6.12246,30.8166,bleu
0,6.12246,31.9391,bleu
0,6.12246,33.0616,bleu
0,6.12246,34.184,bleu
0,6.12246,35.3065,bleu
0,6.12246,36.4289,bleu
0,6.12246,37.5514,bleu
0,6.12246,38.6739,bleu
0,6.12246,39.7963,bleu
0,6.12246,40.9188,bleu
0,6.12246,42.0412,bleu
0,6.12246,43.1637,bleu
0,6.12246,44.2862,bleu
0,6.12246,45.4086,bleu
0,6.12246,46.5311,bleu
0,6.12246,47.6536,bleu
0,6.12246,48.776,bleu
0,7.24492,5,bleu
0,7.24492,6.12246,bleu
0,7.24492,7.24492,bleu
0,7.24492,8.36739,bleu
0,7.24492,9.48985,bleu
0,7.24492,10.6123,bleu
0,7.24492,11.7348,bleu
0,7.24492,12.8572,bleu
0,7.24492,13.9797,bleu
0,7.24492,15.1022,bleu
0,7.24492,16.2246,bleu
0,7.24492,17.3471,bleu
0,7.24492,18.4695,bleu
0,7.24492,19.592,bleu
0,7.24492,20.7145,bleu
0,7.24492,21.8369,bleu
0,7.24492,22.9594,bleu
0,7.24492,24.0819,bleu
0,7.24492,25.2043,bleu
0,7.24492,26.3268,bleu
0,7.24492,27.4492,bleu
0,7.24492,28.5717,bleu
0,7.24492,29.6942,bleu
0,7.24492,30.8166,bleu
0,7.24492,31.9391,bleu
0,7.24492,33.0616,bleu
0,7.24492,34.184,bleu
0,7.24492,35.3065,bleu
0,7.24492,36.4289,bleu
0,7.24492,37.5514,bleu
0,7.24492,38.6739,bleu
0,7.24492,39.7963,bleu
0,7.24492,40.9188,bleu
0,7.24492,42.0412,bleu
0,7.24492,43.1637,bleu
0,7.24492,44.2862,bleu
0,7.24492,45.4086,bleu
0,7.24492,46.5311,bleu
0,7.24492,47.6536,bleu
0,7.24492,48.776,bleu
0,8.36739,5,bleu
0,8.36739,6.12246,bleu
0,8.36739,7.24492,bleu
0,8.36739,8.36739,bleu
0,8.36739,9.48985,bleu
0,8.36739,10.6123,bleu
0,8.36739,11.7348,bleu
0,8.36739,12.8572,bleu
0,8.36739,13.9797,bleu
0,8.36739,15.1022,bleu
0,8.36739,16.2246,bleu
0,8.36739,17.3471,bleu
0,8.36739,18.4695,bleu
0,8.36739,19.592,bleu
0,8.36739,20.7145,bleu
0,8.36739,21.8369,bleu
0,8.36739,22.9594,bleu
0,8.36739,24.0819,bleu
0,8.36739,25.2043,bleu
0,8.36739,26.3268,bleu
0,8.36739,27.4492,bleu
0,8.36739,28.5717,bleu
0,8.36739,29.6942,bleu
0,8.36739,30.8166,bleu
0,8.36739,31.9391,bleu
0,8.36739,33.0616,bleu
0,8.36739,34.184,bleu
0,8.36739,35.3065,bleu
0,8.36739,36.4289,bleu
0,8.36739,37.5514,bleu
0,8.36739,38.6739,bleu
